num_target;   la; isd; niter;     tex; tr_acc; te_acc;  L*
         9;  0.0; 1;  1000;  2.7157;  100.0;   97.2;  2.17e-03
         9;  0.0; 3;    19;  0.1656;  100.0;   94.0;  7.09e-82
         9;  0.0; 7;  1000;  0.7143;   99.6;   99.2;  2.20e+00
         9;  1.0; 1;   437;  1.1892;   99.6;   99.2;  9.66e+00
         9;  1.0; 3;    31;  0.1658;   99.6;   99.2;  9.66e+00
         9;  1.0; 7;  1000;  0.7217;   98.0;   97.2;  2.53e+01
         9; 10.0; 1;   123;  0.4003;   98.4;   98.4;  2.81e+01
         9; 10.0; 3;    40;  0.2290;   98.4;   98.4;  2.81e+01
         9; 10.0; 7;  1000;  0.6441;   87.2;   83.6;  5.23e+01
         0;  0.0; 1;   142;  0.3907;  100.0;   99.2;  1.02e-06
         0;  0.0; 3;   139;  0.5455;  100.0;   98.0;  5.19e-08
         0;  0.0; 7;  1000;  0.7094;  100.0;   99.2;  8.64e-01
         0;  1.0; 1;   284;  0.8064;  100.0;   99.2;  7.61e+00
         0;  1.0; 3;    25;  0.1316;  100.0;   99.2;  7.61e+00
         0;  1.0; 7;  1000;  0.6923;   99.6;   99.2;  2.25e+01
         0; 10.0; 1;  1000;  1.9833;  100.0;   99.2;  2.54e+01
         0; 10.0; 3;    44;  0.2056;  100.0;   99.2;  2.54e+01
         0; 10.0; 7;  1000;  0.7896;   98.0;   98.8;  5.15e+01
